"UC"	"Computer Science"	"687"
"CSU"	"Computer Science"	"1828"
"Nonprofit"	"Computer Science"	"343"
"For-Profit"	"Computer Science"	"3"
"UC"	"CIS, General"	"599"
"CSU"	"CIS, General"	"223"
"Nonprofit"	"CIS, General"	"453"
"For-Profit"	"CIS, General"	"448"
"UC"	"Computer Engineering"	"550"
"CSU"	"Computer Engineering"	"304"
"Nonprofit"	"Computer Engineering"	"131"
"For-Profit"	"Computer Engineering"	"18"
"UC"	"Computer Systems Networking & Telecommunications"	"0"
"CSU"	"Computer Systems Networking & Telecommunications"	"0"
"Nonprofit"	"Computer Systems Networking & Telecommunications"	"0"
"For-Profit"	"Computer Systems Networking & Telecommunications"	"611"
"UC"	"Computer Software & Media Applications"	"0"
"CSU"	"Computer Software & Media Applications"	"75"
"Nonprofit"	"Computer Software & Media Applications"	"1"
"For-Profit"	"Computer Software & Media Applications"	"400"
"UC"	"Computer Systems Analysis"	"0"
"CSU"	"Computer Systems Analysis"	"0"
"Nonprofit"	"Computer Systems Analysis"	"0"
"For-Profit"	"Computer Systems Analysis"	"405"
"UC"	"CIS & Support Services, Other"	"33"
"CSU"	"CIS & Support Services, Other"	"0"
"Nonprofit"	"CIS & Support Services, Other"	"106"
"For-Profit"	"CIS & Support Services, Other"	"70"
"UC"	"Information Science/Studies"	"33"
"CSU"	"Information Science/Studies"	"0"
"Nonprofit"	"Information Science/Studies"	"106"
"For-Profit"	"Information Science/Studies"	"70"
"UC"	"CIT Admin & Management"	"0"
"CSU"	"CIT Admin & Management"	"0"
"Nonprofit"	"CIT Admin & Management"	"83"
"For-Profit"	"CIT Admin & Management"	"37"
"UC"	"Computer Programming"	"0"
"CSU"	"Computer Programming"	"0"
"Nonprofit"	"Computer Programming"	"61"
"For-Profit"	"Computer Programming"	"15"
